,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
0,tonight,love,bitch,feel,want,make,let,girl,know,away
1,dance,love love,fuck,say,want want,need,know,know,baby,life
2,heart,baby,shit,way,know,night,love,baby,know know,time
3,hand,want,nigga,little,just,just,just,want,ooh,good
4,just,know,ayy,just,love,come,say,just,bad,say
5,break,say,money,know,make,baby,make,say,think,make
6,baby,feel,ama,make,say,tell,want,boy,ooh ooh,just
7,want,just,big,baby,baby,money,come,make,love,fall
8,know,fall,know,come,let,know,baby,tell,say,know
9,make,way,want,want,need,light,new,look,la,day
10,hold,tell,just,right,right,want,turn,let,just,love
11,love,heart,hit,need,come,turn,time,come,ooh ooh ooh,look
12,feel,come,look,time,try,high,tonight,man,right,live
13,let,need,real,look,girl,ride,rock,like,time,leave
14,time,let,say,think,feel,stay,think,need,tell,think
15,way,life,tell,love,tell,look,look,good,la la,come
16,eye,make,ass,leave,like,like,bring,way,make,want
17,need,girl,come,tell,think,wait,right,love,want,night
18,say,right,make,night,way,right,tell,thing,come,tell
19,fall,time,bad,hold,good,long,leave,feel,wish,thing
